channel,sku,mape_ml,mape_baseline,best_model
Ecommerce,ALE_PALE_6PK,1.0969021485056842,1.2858680000822382,ML
Ecommerce,BEER_IPA_4PK,1.209787732709753,1.1547957278149352,Baseline
Ecommerce,BEER_LAGER_6PK,0.8695022410521185,1.1230648852947775,ML
Ecommerce,BEER_STOUT_6PK,0.7133461166049896,1.0904518950437319,ML
Retail,ALE_PALE_6PK,0.2651185711812572,0.5146120040458829,ML
Retail,BEER_IPA_4PK,0.17067485313076922,0.2471607766060129,ML
Retail,BEER_LAGER_6PK,0.30856555567918675,0.3942667987089963,ML
Retail,BEER_STOUT_6PK,0.20059979418543677,0.34940655630082595,ML
Retail,UNKNOWN_SKU_999,1.031008269405827,1.0494776482021382,ML
